city,hotel_type,price_lkr,transport_lkr,meal_lkr,tuk_tuk_lkr_per_km,bus_lkr,train_lkr,taxi_lkr,season,tourist_rating
Galle,5-star,19406,1441,3784,160,100,450,1000,peak,3.5
Trincomalee,Mid-range,3961,1002,1612,190,130,0,1400,off-peak,3.7
Anuradhapura,5-star,11830,1460,3619,210,140,420,1600,off-peak,5.0
Ella,Budget,4409,793,676,150,100,400,1200,off-peak,3.0
Ella,Mid-range,8862,2906,1062,150,100,400,1200,off-peak,4.3
Anuradhapura,5-star,7956,2947,4295,210,140,420,1600,off-peak,4.2
Ella,Mid-range,8485,2192,1980,150,100,400,1200,off-peak,4.7
Nuwara Eliya,5-star,13504,2245,4906,170,110,380,1300,off-peak,3.7
Galle,Budget,2442,2478,629,160,100,450,1000,off-peak,3.8
Polonnaruwa,Budget,2869,1248,430,200,130,410,1550,off-peak,3.7
Trincomalee,Budget,3372,2781,486,190,130,0,1400,off-peak,3.5
Trincomalee,5-star,14240,1514,5225,190,130,0,1400,off-peak,4.9
Anuradhapura,Mid-range,3467,1364,818,210,140,420,1600,peak,4.4
Sigiriya,Budget,3046,950,636,200,150,0,1500,off-peak,4.9
Anuradhapura,Mid-range,5759,2193,1702,210,140,420,1600,peak,4.4
Mirissa,Budget,3891,626,364,180,120,500,1100,peak,5.0
Sigiriya,Mid-range,5436,598,1191,200,150,0,1500,peak,4.1
Sigiriya,Mid-range,7307,1439,1897,200,150,0,1500,off-peak,4.5
Nuwara Eliya,5-star,10642,2886,3393,170,110,380,1300,peak,3.8
Sigiriya,Budget,3285,1904,325,200,150,0,1500,off-peak,4.8
Galle,5-star,15998,640,4899,160,100,450,1000,peak,3.4
Colombo,5-star,15278,937,4229,100,60,0,800,off-peak,3.3
Trincomalee,5-star,10178,961,4991,190,130,0,1400,off-peak,4.6
Kandy,5-star,23722,2851,2177,120,80,350,900,off-peak,3.4
Nuwara Eliya,Budget,3752,2521,754,170,110,380,1300,off-peak,3.4
Nuwara Eliya,5-star,9678,833,5591,170,110,380,1300,off-peak,4.0
Trincomalee,5-star,12408,1591,5642,190,130,0,1400,off-peak,3.9
Anuradhapura,Budget,2494,1128,322,210,140,420,1600,off-peak,3.2
Polonnaruwa,Mid-range,5872,1552,1547,200,130,410,1550,peak,4.6
Anuradhapura,Mid-range,5464,1289,1313,210,140,420,1600,peak,4.4
Galle,5-star,10523,638,2126,160,100,450,1000,off-peak,4.3
Nuwara Eliya,5-star,9512,1699,4698,170,110,380,1300,peak,3.3
Sigiriya,Budget,4270,1661,772,200,150,0,1500,peak,4.1
Colombo,Mid-range,6712,704,827,100,60,0,800,peak,4.7
Nuwara Eliya,5-star,12546,2323,4203,170,110,380,1300,off-peak,3.9
Colombo,5-star,15340,1265,2457,100,60,0,800,peak,4.0
Trincomalee,5-star,12954,2650,5499,190,130,0,1400,peak,4.4
Galle,5-star,15696,1246,2618,160,100,450,1000,off-peak,4.3
Trincomalee,5-star,9453,2968,5698,190,130,0,1400,peak,4.8
Kandy,5-star,24578,1255,2865,120,80,350,900,peak,3.9
Trincomalee,Mid-range,5104,2985,1280,190,130,0,1400,peak,4.8
Kandy,5-star,20853,2762,4213,120,80,350,900,off-peak,3.3
Anuradhapura,Budget,2616,2738,784,210,140,420,1600,off-peak,4.1
Trincomalee,Mid-range,5764,609,963,190,130,0,1400,off-peak,4.8
Polonnaruwa,5-star,7742,731,4379,200,130,410,1550,peak,4.5
Polonnaruwa,Mid-range,3028,2925,1778,200,130,410,1550,off-peak,3.5
Polonnaruwa,Budget,1899,1224,516,200,130,410,1550,peak,3.5
Polonnaruwa,5-star,10539,767,5938,200,130,410,1550,off-peak,4.5
Anuradhapura,5-star,7055,799,2171,210,140,420,1600,peak,3.5
Galle,5-star,14828,2050,2066,160,100,450,1000,peak,4.1
Ella,5-star,17670,2260,2927,150,100,400,1200,peak,4.2
Trincomalee,Mid-range,5267,2789,1833,190,130,0,1400,off-peak,3.5
Colombo,Mid-range,7700,1862,853,100,60,0,800,peak,4.7
Anuradhapura,Mid-range,5257,2448,1620,210,140,420,1600,peak,4.4
Galle,5-star,20583,1842,2081,160,100,450,1000,off-peak,4.1
Trincomalee,Mid-range,3534,1886,1963,190,130,0,1400,off-peak,3.2
Sigiriya,5-star,14147,806,3747,200,150,0,1500,off-peak,4.9
Mirissa,Budget,3593,939,493,180,120,500,1100,peak,3.5
Mirissa,5-star,8713,1038,5822,180,120,500,1100,peak,4.9
Ella,Mid-range,5303,559,1350,150,100,400,1200,off-peak,4.3
Ella,Budget,2220,1005,588,150,100,400,1200,off-peak,3.2
Galle,Budget,2617,2920,470,160,100,450,1000,peak,4.5
Galle,Mid-range,8311,1428,1171,160,100,450,1000,off-peak,4.9
Sigiriya,Mid-range,8633,2102,1452,200,150,0,1500,peak,3.5
Anuradhapura,5-star,7342,1498,3999,210,140,420,1600,peak,4.4
Kandy,5-star,23231,1389,5917,120,80,350,900,peak,4.4
Trincomalee,Budget,2390,1606,757,190,130,0,1400,peak,4.4
Sigiriya,Mid-range,8495,2034,866,200,150,0,1500,peak,3.3
Kandy,Mid-range,6661,905,1034,120,80,350,900,peak,3.6
Galle,Mid-range,8288,883,1346,160,100,450,1000,off-peak,4.1
Colombo,5-star,22425,2590,5536,100,60,0,800,peak,4.5
Kandy,Budget,3144,1702,646,120,80,350,900,off-peak,3.9
Polonnaruwa,Budget,1692,598,800,200,130,410,1550,peak,3.5
Anuradhapura,Mid-range,4975,1088,1024,210,140,420,1600,off-peak,4.3
Trincomalee,Budget,2826,2602,796,190,130,0,1400,peak,4.8
Galle,Budget,3004,891,699,160,100,450,1000,peak,4.9
Mirissa,5-star,9287,2718,2828,180,120,500,1100,peak,3.2
Mirissa,Mid-range,5159,2528,1419,180,120,500,1100,peak,4.6
Mirissa,5-star,16125,1312,5928,180,120,500,1100,off-peak,3.3
Mirissa,Mid-range,4459,911,893,180,120,500,1100,off-peak,4.4
Trincomalee,5-star,13048,704,5139,190,130,0,1400,peak,4.2
Polonnaruwa,5-star,8831,2652,4550,200,130,410,1550,off-peak,4.9
Polonnaruwa,Budget,1699,1012,750,200,130,410,1550,off-peak,4.6
Nuwara Eliya,Budget,2650,1246,582,170,110,380,1300,peak,4.6
Trincomalee,Mid-range,4398,642,999,190,130,0,1400,peak,4.7
Nuwara Eliya,Budget,3679,1824,567,170,110,380,1300,peak,4.8
Nuwara Eliya,Mid-range,4559,895,1714,170,110,380,1300,peak,4.7
Ella,Budget,4462,2960,394,150,100,400,1200,off-peak,4.0
Mirissa,5-star,16201,1385,2397,180,120,500,1100,off-peak,3.5
Sigiriya,5-star,22667,946,3045,200,150,0,1500,off-peak,4.4
Nuwara Eliya,5-star,9345,1443,4570,170,110,380,1300,off-peak,3.6
Polonnaruwa,Budget,1701,863,716,200,130,410,1550,peak,3.0
Trincomalee,Budget,3170,1648,424,190,130,0,1400,off-peak,4.7
Sigiriya,Mid-range,10989,1196,1633,200,150,0,1500,peak,3.5
Galle,5-star,17250,602,3299,160,100,450,1000,peak,4.1
Galle,Mid-range,6583,2808,1835,160,100,450,1000,off-peak,3.3
Trincomalee,Mid-range,5405,889,1002,190,130,0,1400,peak,4.8
Trincomalee,Mid-range,3807,2794,1109,190,130,0,1400,off-peak,3.3
Galle,Budget,2978,720,774,160,100,450,1000,peak,4.5
Trincomalee,Budget,2610,2584,549,190,130,0,1400,off-peak,4.9
Ella,Budget,2234,2475,686,150,100,400,1200,off-peak,4.0
Ella,Mid-range,6981,1899,1484,150,100,400,1200,peak,3.2
Polonnaruwa,Mid-range,3557,2390,1955,200,130,410,1550,peak,4.1
Nuwara Eliya,Mid-range,4638,2380,1455,170,110,380,1300,peak,3.5
Ella,5-star,10961,641,4350,150,100,400,1200,peak,4.3
Galle,5-star,15132,1169,5957,160,100,450,1000,off-peak,3.1
Kandy,Budget,3097,1215,367,120,80,350,900,peak,3.4
Galle,Budget,3637,2044,595,160,100,450,1000,peak,3.3
Galle,5-star,17783,773,2325,160,100,450,1000,peak,4.2
Mirissa,5-star,16555,1295,2165,180,120,500,1100,off-peak,4.3
Ella,Mid-range,4637,1493,1102,150,100,400,1200,peak,4.1
Kandy,Budget,3806,1963,480,120,80,350,900,off-peak,3.3
Anuradhapura,Budget,2355,2498,301,210,140,420,1600,peak,3.3
Trincomalee,5-star,7639,643,3502,190,130,0,1400,peak,3.3
Polonnaruwa,Budget,2320,2544,475,200,130,410,1550,off-peak,3.2
Galle,Budget,3532,1218,381,160,100,450,1000,peak,3.3
Polonnaruwa,Budget,2696,991,679,200,130,410,1550,off-peak,3.4
Nuwara Eliya,5-star,16031,792,2353,170,110,380,1300,peak,3.6
Anuradhapura,Mid-range,5084,2678,1599,210,140,420,1600,peak,4.8
Ella,Budget,3851,1574,791,150,100,400,1200,off-peak,4.4
Polonnaruwa,Budget,2364,2234,389,200,130,410,1550,off-peak,3.4
Kandy,Budget,4432,2429,490,120,80,350,900,peak,4.7
Ella,Budget,3734,2714,538,150,100,400,1200,peak,3.7
Kandy,Mid-range,9943,577,1830,120,80,350,900,off-peak,4.2
Polonnaruwa,Budget,2153,2047,389,200,130,410,1550,off-peak,3.3
Nuwara Eliya,Budget,2414,2587,391,170,110,380,1300,peak,3.3
Ella,5-star,15873,2899,5894,150,100,400,1200,peak,3.6
Galle,Mid-range,6246,2453,1535,160,100,450,1000,peak,3.1
Ella,Mid-range,6387,2532,901,150,100,400,1200,peak,4.2
Nuwara Eliya,5-star,14791,2599,2451,170,110,380,1300,off-peak,4.8
Sigiriya,Budget,2612,1102,778,200,150,0,1500,peak,4.0
Sigiriya,Mid-range,6572,981,1976,200,150,0,1500,peak,4.2
Mirissa,Mid-range,6407,1138,1569,180,120,500,1100,off-peak,3.2
Ella,5-star,15251,1309,2473,150,100,400,1200,peak,3.3
Polonnaruwa,Budget,2417,1848,658,200,130,410,1550,off-peak,4.6
Colombo,Budget,3309,2801,624,100,60,0,800,peak,5.0
Anuradhapura,Mid-range,4888,898,1494,210,140,420,1600,off-peak,4.4
Sigiriya,5-star,25504,2447,3171,200,150,0,1500,off-peak,4.0
Nuwara Eliya,5-star,12364,1459,4028,170,110,380,1300,peak,4.4
Nuwara Eliya,Budget,3777,2807,307,170,110,380,1300,peak,3.4
Polonnaruwa,Mid-range,3587,822,1395,200,130,410,1550,off-peak,3.7
Anuradhapura,Budget,2424,2766,782,210,140,420,1600,peak,3.8
Anuradhapura,Budget,1910,683,370,210,140,420,1600,off-peak,4.7
Mirissa,5-star,13362,923,2062,180,120,500,1100,peak,3.8
Polonnaruwa,Mid-range,5359,2646,1012,200,130,410,1550,off-peak,3.9
Anuradhapura,Mid-range,5477,2445,945,210,140,420,1600,peak,4.5
Trincomalee,5-star,11266,1670,3503,190,130,0,1400,peak,4.6
Ella,Mid-range,7294,2312,1002,150,100,400,1200,peak,3.2
Nuwara Eliya,5-star,8832,594,4319,170,110,380,1300,off-peak,4.6
Galle,Mid-range,8679,1075,1631,160,100,450,1000,off-peak,4.2
Kandy,5-star,18316,668,2442,120,80,350,900,peak,3.8
Polonnaruwa,5-star,7541,2823,2962,200,130,410,1550,off-peak,3.6
Trincomalee,Mid-range,6404,1894,973,190,130,0,1400,peak,3.2
Kandy,Budget,3710,1158,742,120,80,350,900,off-peak,4.9
Colombo,5-star,22551,1487,3928,100,60,0,800,peak,4.8
Colombo,Mid-range,8258,2693,1215,100,60,0,800,off-peak,4.6
Colombo,Budget,4287,987,345,100,60,0,800,peak,3.2
Mirissa,Budget,2316,835,560,180,120,500,1100,peak,4.0
Polonnaruwa,Budget,1553,1243,391,200,130,410,1550,peak,3.5
Galle,Mid-range,6785,1552,1639,160,100,450,1000,off-peak,4.3
Sigiriya,5-star,20907,1995,3553,200,150,0,1500,peak,4.8
Polonnaruwa,5-star,6407,2662,4678,200,130,410,1550,off-peak,3.5
Trincomalee,Mid-range,6072,1065,1278,190,130,0,1400,off-peak,3.6
Kandy,Budget,4779,1815,472,120,80,350,900,off-peak,3.5
Sigiriya,5-star,27108,638,3592,200,150,0,1500,off-peak,3.7
Galle,5-star,18921,1653,2014,160,100,450,1000,off-peak,3.5
Ella,Budget,3348,2234,507,150,100,400,1200,off-peak,4.4
Nuwara Eliya,Mid-range,6086,1575,924,170,110,380,1300,peak,4.7
Trincomalee,Mid-range,6809,939,1186,190,130,0,1400,off-peak,3.1
Mirissa,5-star,14593,1549,2219,180,120,500,1100,off-peak,4.4
Kandy,5-star,19178,2774,5993,120,80,350,900,off-peak,4.4
Trincomalee,Mid-range,5232,2144,1439,190,130,0,1400,peak,3.1
Kandy,Budget,4593,764,739,120,80,350,900,peak,4.5
Anuradhapura,Mid-range,4728,2439,990,210,140,420,1600,off-peak,3.1
Trincomalee,Mid-range,5448,839,1772,190,130,0,1400,off-peak,4.4
Sigiriya,5-star,20547,626,3213,200,150,0,1500,peak,3.1
Ella,Mid-range,5587,2261,1969,150,100,400,1200,peak,3.2
Sigiriya,Mid-range,5905,1609,1097,200,150,0,1500,off-peak,4.6
Ella,5-star,19026,2663,2601,150,100,400,1200,peak,3.8
Colombo,Mid-range,10992,1710,1958,100,60,0,800,off-peak,4.1
Colombo,Budget,5069,1205,376,100,60,0,800,peak,3.1
Anuradhapura,5-star,9512,2031,2969,210,140,420,1600,peak,4.2
Kandy,Mid-range,6398,2184,1746,120,80,350,900,off-peak,4.4
Anuradhapura,Mid-range,3676,2642,1440,210,140,420,1600,off-peak,5.0
Nuwara Eliya,Mid-range,5000,1486,1357,170,110,380,1300,off-peak,3.5
Nuwara Eliya,Mid-range,6892,570,1785,170,110,380,1300,peak,4.2
Anuradhapura,Mid-range,3446,2455,1649,210,140,420,1600,peak,3.2
Anuradhapura,Mid-range,3129,2154,1962,210,140,420,1600,peak,4.6
Sigiriya,5-star,19324,2890,3496,200,150,0,1500,off-peak,4.3
Mirissa,Budget,2838,2530,702,180,120,500,1100,off-peak,3.5
Colombo,Mid-range,10850,2950,1002,100,60,0,800,peak,3.9
Colombo,Mid-range,8514,2401,1225,100,60,0,800,off-peak,4.0
Sigiriya,Budget,3926,2940,475,200,150,0,1500,peak,4.9
Sigiriya,Budget,2888,2090,685,200,150,0,1500,off-peak,4.5
Polonnaruwa,5-star,7324,2108,5795,200,130,410,1550,off-peak,3.9
Colombo,Mid-range,8213,2297,1914,100,60,0,800,peak,3.4
Polonnaruwa,5-star,10893,946,5946,200,130,410,1550,off-peak,4.5
Galle,Budget,2969,1940,565,160,100,450,1000,off-peak,4.1
Kandy,5-star,19561,2937,4818,120,80,350,900,off-peak,3.5
Kandy,Mid-range,6036,2785,1765,120,80,350,900,peak,4.2
Galle,Budget,3155,1656,645,160,100,450,1000,off-peak,3.3
Galle,Mid-range,8000,2779,1241,160,100,450,1000,off-peak,3.9
Kandy,Mid-range,9105,1213,1252,120,80,350,900,peak,4.9
Ella,5-star,15028,1522,4492,150,100,400,1200,off-peak,4.8
Trincomalee,5-star,14786,1487,3116,190,130,0,1400,peak,3.6
Kandy,5-star,11321,2706,4331,120,80,350,900,off-peak,4.1
Sigiriya,Budget,4384,1100,301,200,150,0,1500,off-peak,3.9
Mirissa,5-star,12475,2706,2333,180,120,500,1100,peak,3.6
Mirissa,Budget,3799,836,428,180,120,500,1100,peak,4.3
Galle,Mid-range,6650,734,1569,160,100,450,1000,off-peak,3.8
Ella,Budget,3161,1599,591,150,100,400,1200,off-peak,4.0
Colombo,5-star,27044,1802,4258,100,60,0,800,peak,4.2
Ella,Budget,2104,2172,686,150,100,400,1200,peak,4.8
Trincomalee,5-star,12092,1399,2599,190,130,0,1400,off-peak,4.8
Colombo,Budget,4586,1286,504,100,60,0,800,off-peak,4.9
Mirissa,Budget,2509,2564,663,180,120,500,1100,peak,3.3
Mirissa,Budget,2792,826,674,180,120,500,1100,off-peak,4.7
Nuwara Eliya,Mid-range,7088,1284,961,170,110,380,1300,peak,3.9
Trincomalee,Mid-range,4273,1387,1424,190,130,0,1400,off-peak,3.9
Ella,Budget,3092,812,387,150,100,400,1200,off-peak,4.1
Kandy,Mid-range,8042,2540,1253,120,80,350,900,peak,4.1
Trincomalee,Mid-range,5834,1045,1357,190,130,0,1400,peak,4.1
Ella,Mid-range,4932,2132,961,150,100,400,1200,off-peak,4.0
Galle,5-star,17754,1704,2883,160,100,450,1000,peak,3.2
Polonnaruwa,Mid-range,5620,1861,1193,200,130,410,1550,peak,4.0
Ella,5-star,13586,571,4888,150,100,400,1200,peak,4.5
Anuradhapura,5-star,10047,784,3227,210,140,420,1600,peak,3.8
Galle,5-star,20332,2702,2394,160,100,450,1000,off-peak,3.8
Galle,Budget,3030,924,462,160,100,450,1000,peak,3.2
Mirissa,Budget,2237,1177,505,180,120,500,1100,off-peak,4.1
Ella,Mid-range,6425,818,1849,150,100,400,1200,off-peak,4.5
Nuwara Eliya,5-star,8384,1096,5428,170,110,380,1300,off-peak,3.1
Trincomalee,Mid-range,5314,1584,1638,190,130,0,1400,peak,4.8
Kandy,Budget,4765,2068,610,120,80,350,900,off-peak,4.5
Polonnaruwa,5-star,6152,1879,2618,200,130,410,1550,off-peak,4.9
Colombo,5-star,20501,2487,5223,100,60,0,800,peak,3.3
Sigiriya,5-star,27361,2481,2676,200,150,0,1500,peak,4.1
Mirissa,Budget,3880,953,384,180,120,500,1100,off-peak,4.5
Anuradhapura,Mid-range,4832,2965,1266,210,140,420,1600,peak,3.7
Galle,Mid-range,4988,1252,969,160,100,450,1000,peak,3.6
Sigiriya,5-star,12984,1697,5039,200,150,0,1500,peak,3.9
Colombo,5-star,25681,2246,5924,100,60,0,800,peak,4.8
Sigiriya,5-star,22021,2426,2679,200,150,0,1500,peak,4.2
Galle,Budget,4500,2872,742,160,100,450,1000,off-peak,3.2
Galle,5-star,13781,2376,2867,160,100,450,1000,off-peak,4.2
Ella,5-star,14267,817,3501,150,100,400,1200,off-peak,3.3
Kandy,5-star,16160,506,5655,120,80,350,900,off-peak,4.1
Galle,Mid-range,5756,1852,1065,160,100,450,1000,off-peak,4.0
Kandy,5-star,12718,2733,5503,120,80,350,900,peak,4.1
Nuwara Eliya,Budget,3630,1135,658,170,110,380,1300,peak,3.7
Nuwara Eliya,Budget,2567,1359,625,170,110,380,1300,peak,4.9
Kandy,Budget,4232,2415,462,120,80,350,900,off-peak,3.8
Trincomalee,Mid-range,4727,2463,963,190,130,0,1400,peak,3.1
Colombo,5-star,15609,2083,5644,100,60,0,800,peak,3.3
Nuwara Eliya,5-star,14917,1955,3617,170,110,380,1300,off-peak,3.4
Trincomalee,5-star,14127,1775,5912,190,130,0,1400,off-peak,3.7
Polonnaruwa,Mid-range,4130,2507,876,200,130,410,1550,peak,4.1
Trincomalee,Mid-range,3803,505,1343,190,130,0,1400,peak,4.3
Galle,Mid-range,5046,2189,1609,160,100,450,1000,off-peak,4.6
Galle,Mid-range,4927,1485,1117,160,100,450,1000,off-peak,4.1
Nuwara Eliya,Budget,3617,1016,380,170,110,380,1300,peak,4.6
Sigiriya,Budget,2888,731,477,200,150,0,1500,peak,3.5
Nuwara Eliya,5-star,14013,929,3141,170,110,380,1300,peak,4.7
Ella,Mid-range,8428,2280,1555,150,100,400,1200,off-peak,4.4
Anuradhapura,Budget,2000,2951,792,210,140,420,1600,off-peak,3.6
Anuradhapura,Mid-range,3184,1044,872,210,140,420,1600,off-peak,4.7
Ella,5-star,10049,2213,4884,150,100,400,1200,peak,4.8
Ella,Budget,2024,2000,661,150,100,400,1200,off-peak,4.8
Polonnaruwa,5-star,9084,2714,2358,200,130,410,1550,peak,3.2
Colombo,5-star,16392,2869,5565,100,60,0,800,peak,4.1
Ella,5-star,11440,768,5768,150,100,400,1200,off-peak,4.1
Galle,Mid-range,7015,526,1370,160,100,450,1000,off-peak,4.4
Polonnaruwa,Mid-range,5720,1280,1025,200,130,410,1550,off-peak,3.9
Ella,Budget,3447,1578,621,150,100,400,1200,off-peak,3.4
Anuradhapura,Budget,1829,2998,517,210,140,420,1600,peak,3.5
Trincomalee,Mid-range,6758,2640,1775,190,130,0,1400,off-peak,4.1
Nuwara Eliya,Budget,2423,570,626,170,110,380,1300,off-peak,3.5
Polonnaruwa,Budget,2723,569,700,200,130,410,1550,peak,3.2
Mirissa,Mid-range,7547,1874,850,180,120,500,1100,off-peak,3.6
Kandy,Budget,3543,2802,662,120,80,350,900,peak,3.7
Ella,Budget,4378,2247,459,150,100,400,1200,peak,4.3
Galle,Mid-range,8202,890,1946,160,100,450,1000,off-peak,3.6
Galle,Mid-range,8343,2719,871,160,100,450,1000,peak,3.4
Galle,5-star,18693,2251,3582,160,100,450,1000,peak,3.7
Galle,5-star,14102,517,5197,160,100,450,1000,off-peak,4.1
Polonnaruwa,Mid-range,4370,1621,1883,200,130,410,1550,off-peak,3.8
Polonnaruwa,5-star,7354,577,2913,200,130,410,1550,off-peak,3.2
Ella,Budget,3246,2028,533,150,100,400,1200,off-peak,3.1
Polonnaruwa,5-star,10960,1664,4604,200,130,410,1550,peak,4.3
Polonnaruwa,Budget,1673,1878,778,200,130,410,1550,peak,3.6
Nuwara Eliya,Mid-range,7318,1283,1217,170,110,380,1300,off-peak,3.7
Colombo,5-star,26102,2244,4800,100,60,0,800,off-peak,4.5
Colombo,Mid-range,7080,2839,1099,100,60,0,800,peak,3.4
Polonnaruwa,5-star,8425,2739,2335,200,130,410,1550,off-peak,4.5
Mirissa,5-star,13435,2254,2594,180,120,500,1100,off-peak,3.2
Ella,5-star,12767,1532,3178,150,100,400,1200,peak,4.9
Galle,Budget,2707,2189,603,160,100,450,1000,peak,5.0
Galle,Budget,3252,1534,544,160,100,450,1000,off-peak,3.4
Trincomalee,5-star,8175,1751,5970,190,130,0,1400,peak,4.8
Trincomalee,Mid-range,4554,1960,1016,190,130,0,1400,peak,4.9
Mirissa,5-star,8971,2162,4973,180,120,500,1100,peak,3.3
Nuwara Eliya,Budget,2054,644,594,170,110,380,1300,off-peak,4.5
Anuradhapura,Budget,2296,945,442,210,140,420,1600,peak,5.0
Colombo,5-star,17490,1162,4214,100,60,0,800,off-peak,5.0
Polonnaruwa,Mid-range,5958,1074,1744,200,130,410,1550,peak,3.5
Mirissa,Budget,2541,1576,488,180,120,500,1100,peak,3.2
Sigiriya,Budget,4428,2030,386,200,150,0,1500,off-peak,3.0
Sigiriya,5-star,11472,505,2968,200,150,0,1500,peak,3.1
Colombo,Budget,5112,1399,327,100,60,0,800,peak,4.6
Sigiriya,5-star,11107,934,5184,200,150,0,1500,off-peak,4.5
Polonnaruwa,5-star,10792,2929,5458,200,130,410,1550,peak,4.3
Polonnaruwa,Mid-range,4141,888,1729,200,130,410,1550,peak,3.3
Trincomalee,Budget,2326,2553,682,190,130,0,1400,peak,3.3
Anuradhapura,Mid-range,5364,2086,1568,210,140,420,1600,off-peak,3.5
Colombo,Mid-range,8617,1298,1905,100,60,0,800,off-peak,3.0
Anuradhapura,Mid-range,5395,2233,1575,210,140,420,1600,off-peak,4.4
Colombo,Budget,5605,600,435,100,60,0,800,peak,4.6
Anuradhapura,Mid-range,4578,771,1060,210,140,420,1600,peak,3.3
Galle,Mid-range,6321,2703,1605,160,100,450,1000,peak,3.1
Sigiriya,Budget,4186,2077,441,200,150,0,1500,off-peak,3.7
Kandy,Budget,3845,2794,760,120,80,350,900,peak,3.6
Galle,Mid-range,6407,753,1782,160,100,450,1000,off-peak,4.4
Trincomalee,Budget,3176,2715,753,190,130,0,1400,peak,3.1
Ella,Budget,3456,2793,733,150,100,400,1200,off-peak,3.2
Mirissa,Mid-range,4457,891,1918,180,120,500,1100,off-peak,4.0
Kandy,Mid-range,8250,2956,958,120,80,350,900,off-peak,4.9
Kandy,5-star,15659,2810,3225,120,80,350,900,peak,3.4
Trincomalee,5-star,11483,2971,2744,190,130,0,1400,off-peak,3.4
Kandy,5-star,24961,2618,4280,120,80,350,900,peak,4.1
Colombo,Mid-range,10693,929,1174,100,60,0,800,off-peak,4.8
Ella,Budget,2486,2367,388,150,100,400,1200,off-peak,4.7
Colombo,Mid-range,11968,1280,816,100,60,0,800,off-peak,3.9
Ella,Mid-range,4960,2749,1457,150,100,400,1200,off-peak,3.3
Trincomalee,Budget,3186,1866,356,190,130,0,1400,off-peak,4.1
Trincomalee,Mid-range,5566,1491,1677,190,130,0,1400,off-peak,3.5
Sigiriya,Budget,4890,961,385,200,150,0,1500,off-peak,3.1
Galle,Budget,3472,2854,690,160,100,450,1000,peak,3.4
Ella,5-star,15126,2863,2719,150,100,400,1200,off-peak,3.3
Colombo,5-star,13036,2847,4508,100,60,0,800,off-peak,3.5
Polonnaruwa,Mid-range,4321,682,1460,200,130,410,1550,off-peak,3.2
Polonnaruwa,Budget,2047,2738,783,200,130,410,1550,off-peak,3.6
Ella,Budget,3111,2384,756,150,100,400,1200,off-peak,3.2
Trincomalee,5-star,11735,2478,5415,190,130,0,1400,peak,4.6
Trincomalee,Budget,3260,687,707,190,130,0,1400,off-peak,3.9
Trincomalee,Mid-range,6853,2453,1798,190,130,0,1400,peak,5.0
Mirissa,5-star,8960,1679,3597,180,120,500,1100,peak,3.5
Anuradhapura,5-star,11083,2601,5717,210,140,420,1600,peak,4.2
Sigiriya,Mid-range,7974,2949,1701,200,150,0,1500,off-peak,4.0
Sigiriya,5-star,19316,962,4770,200,150,0,1500,peak,4.6
Sigiriya,Mid-range,9989,2582,1489,200,150,0,1500,off-peak,4.1
Trincomalee,Mid-range,4724,2572,1884,190,130,0,1400,off-peak,3.2
Nuwara Eliya,Mid-range,4252,2554,1849,170,110,380,1300,off-peak,4.7
Colombo,Mid-range,8408,1740,1197,100,60,0,800,off-peak,4.3
Mirissa,5-star,10670,2677,2624,180,120,500,1100,peak,3.5
Sigiriya,Budget,4337,1149,508,200,150,0,1500,off-peak,3.2
Colombo,Mid-range,9815,1284,1253,100,60,0,800,peak,4.4
Anuradhapura,5-star,11108,2176,4588,210,140,420,1600,off-peak,4.3
Anuradhapura,Budget,2523,1833,506,210,140,420,1600,off-peak,4.7
Colombo,5-star,14563,2358,3294,100,60,0,800,off-peak,3.6
Trincomalee,Budget,3283,1939,710,190,130,0,1400,off-peak,4.6
Mirissa,Budget,3810,1873,387,180,120,500,1100,peak,4.8
Mirissa,5-star,17461,767,3449,180,120,500,1100,off-peak,4.6
Polonnaruwa,5-star,6602,623,5054,200,130,410,1550,peak,4.4
Nuwara Eliya,5-star,11535,1931,2594,170,110,380,1300,peak,3.6
Colombo,5-star,14825,1046,5715,100,60,0,800,peak,4.9
Sigiriya,5-star,21385,2459,5201,200,150,0,1500,off-peak,3.4
Polonnaruwa,5-star,6308,2365,5866,200,130,410,1550,off-peak,4.1
Galle,Budget,2575,2943,616,160,100,450,1000,off-peak,3.3
Polonnaruwa,Budget,2775,2700,696,200,130,410,1550,peak,4.3
Galle,Mid-range,6457,2700,1379,160,100,450,1000,peak,3.2
Galle,Budget,4473,2797,341,160,100,450,1000,peak,4.0
Anuradhapura,5-star,8696,1117,4307,210,140,420,1600,peak,3.5
Kandy,5-star,20622,2847,2730,120,80,350,900,peak,4.3
Ella,5-star,14366,2954,2911,150,100,400,1200,off-peak,3.9
Sigiriya,Budget,4431,2135,466,200,150,0,1500,peak,4.3
Ella,Mid-range,7453,897,965,150,100,400,1200,peak,4.0
Nuwara Eliya,5-star,8260,1740,4860,170,110,380,1300,off-peak,4.0
Mirissa,5-star,15004,2591,3853,180,120,500,1100,peak,3.6
Trincomalee,5-star,10111,530,3748,190,130,0,1400,peak,3.3
Kandy,Budget,3359,2927,721,120,80,350,900,off-peak,3.2
Ella,Budget,4232,757,790,150,100,400,1200,peak,3.8
Trincomalee,Mid-range,6400,1487,1584,190,130,0,1400,off-peak,3.1
Nuwara Eliya,Mid-range,5911,1700,1971,170,110,380,1300,peak,3.6
